"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.1u","Capacitor_SMD:C_0805_2012Metric",""
"2","C2","1","68nF","Capacitor_SMD:C_0805_2012Metric",""
"3","J1","1","XT90PW-F","XT90PW-F:AMASS_XT90PW-F",""
"4","J2","1","XT90PW-M","XT90PW-M:AMASS_XT90PW-M",""
"5","J3","1","Conn_01x02_Pin","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"6","J4","1","Conn_01x03_Socket","Connector_PinSocket_2.00mm:PinSocket_1x03_P2.00mm_Vertical",""
"7","JP1","1","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"8","JP2","1","Jumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm",""
"9","Q1","1","DMTH8003SPS-13","Components:PowerDI5060-8 (Type K)",""
"10","R1, R3","2","330k","Resistor_SMD:R_0805_2012Metric",""
"11","R2","1","30k","Resistor_SMD:R_0805_2012Metric",""
"12","R4","1","56k","Resistor_SMD:R_0805_2012Metric",""
"13","R6","1","75k","Resistor_SMD:R_0805_2012Metric",""
"14","R7","1","10k","Resistor_SMD:R_0805_2012Metric",""
"15","SW1","1","MSK12C02","LIB_MSK12C02:MSK12C02",""
"16","U1","1","LM5060","Package_SO:MSOP-10_3x3mm_P0.5mm",""
