Comment,Designator,Footprint,LCSC
68nF,C2,C_0805_2012Metric,C107159
10k,R7,R_0805_2012Metric,C17414
R,R2,R_0805_2012Metric,C17621
R,"R1,R3",R_0805_2012Metric,C17629
R,R4,R_0805_2012Metric,C17756
LM5060,U1,MSOP-10_3x3mm_P0.5mm,C2676940
0.1u,C1,C_0805_2012Metric,C28233
XT90PW-M,J2,AMASS_XT90PW-M,C3040689
XT90PW-F,J1,AMASS_XT90PW-F,C3040690
MSK12C02,SW1,MSK12C02,C431540
DMTH8003SPS-13,Q1,PowerDI5060-8 (Type K),C434455
75k,R6,R_0805_2012Metric,C84375
Conn_01x02_Pin,J3,PinHeader_1x02_P2.00mm_Vertical,
Jumper_3_Bridged12,JP2,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
Conn_01x03_Socket,J4,PinSocket_1x03_P2.00mm_Vertical,
